매장명,주소,위도,경도
부산시민공원점,"부산 부산진구 시민공원로 73, 푸드코트피크닉 /범전동 200",35.1655426683447,129.055839791494
강남역2점,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",37.5003941401087,127.026984908497
숙대입구점,서울특별시 용산구 청파로 276 2층~3층,37.5442899576622,126.970939489942
김해복음병원점,경상남도 김해시 활천로 42 (삼정동) .,35.2314160937922,128.893748333421
홍제천점,"서울특별시 서대문구 홍제내길 52,1~2층 (홍제동 361-49) .",37.5871783,126.9359182
롯데시네마라페스타점,"경기도 고양시 일산동구 무궁화로 32-34 (장항동, 라페스타C) 3층",37.6613188687547,126.76879891373
충남대점,대전광역시 유성구 대학로 84 (482-6) .,36.3608456743015,127.344703278144
종각역점,서울특별시 종로구 종로 60-1 종로2가 102-3,37.5699362991594,126.984167036879
부산아트몰링영풍문고점,부산광역시 사하구 낙동남로 1413 아트몰링 13층,35.106754958865,128.966474900321
광명GIDC점,"경기도 광명시 일직로 43, 지하2층 G249, G250호 /일직동 514",37.4227699960931,126.886946212034
시흥능곡점,"경기도 시흥시 능곡번영길 25, 아리테브릿지 107,108,205,206호 (능곡동 211-3)",37.369566316179,126.807231435823
평택칠괴점,"경기도 평택시 칠괴길 84,1층 (101호, 104호) 칠괴동 492",37.0252819109276,127.078090674051
송탄서정점,"경기도 평택시 경기대로 1371,102호 서정동 814-1",37.0674820040145,127.063696299329
김해인제대점,경상남도 김해시 인제로 168 (어방동) 정석빌딩101호,35.2436107253803,128.904162558189
순천성가롤로병원점,"전남 순천시 순광로 221, 순천성가롤로병원 별관 2층 조례동 1742",34.9637500531222,127.542936011935
부산동의대점,부산광역시 부산진구 엄광로 176 (가야동 464-108) .,35.1443184545334,129.036309884005
울산삼산로점,"울산광역시 남구 삼산로 283 (삼산동, 소망빌딩) 삼산동1525-8,1525-9",35.5397268731312,129.337902041894
동학사점,"충남 공주시 반포면 동학사2로 133 1,2층 .",36.3585826667114,127.244511137923
부천순천향병원점,경기도 부천시 조마루로 170(중동) 본관 지하 1층 .,37.4983707318869,126.762109115188
전주시네마점,전라북도 전주시 완산구 전주객사3길 67 (전주시네마타운) 1~2층,35.8195964780553,127.141890177972
천안신부점,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 454-5번지, 4~5층",36.8204560169879,127.160967054086
삼성전자평택캠퍼스점,경기도 평택시 삼성로 144 반도체공장 복지관 1층(고덕면 여염리 1648) .,37.0374992571755,127.051947699157
천안아산역사점,충청남도 아산시 배방읍 희망로 100 (천안아산역) 3층 맞이방,36.7945079707717,127.104454256564
부산서구청점,"부산광역시 서구 보수대로 9 1층 104호 (바른빌딩,충무동1가 3-1)",35.0976439325719,129.024905239495
울산율리점,울산광역시 울주군 청량읍 율리영해1길 46 1층,35.5287302606853,129.239909504965
(하)부안고려청자휴게소점,전라북도 부안군 주산면 서해안고속도로 103 (하)부안고려청자휴게소 목포방향,35.6718665675198,126.732208661128
(상)부안고려청자휴게소점,전라북도 부안군 주산면 서해안고속도로 106 (주산면) (상)부안고려청자휴게소점 서울방향,35.6718526459465,126.73450966947
